,drug vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
45,0 1 0 1 1 0 1,0.5,0.5,1.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
46,0 1 0 1 1 1 0,0.5,0.5,1.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
47,0 1 0 1 1 1 1,0.5,0.5,1.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
48,0 1 1 0 0 0 0,1.5,1.5,9.5,1.5,1.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
49,0 1 1 0 0 0 1,0.5,0.5,9.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
50,0 1 1 0 0 1 0,0.5,0.5,9.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
51,0 1 1 0 0 1 1,0.5,0.5,9.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
52,0 1 1 0 1 0 0,1.5,1.5,9.5,1.5,1.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
53,0 1 1 0 1 0 1,0.5,0.5,9.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
54,0 1 1 0 1 1 0,0.5,0.5,9.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
55,0 1 1 0 1 1 1,0.5,0.5,9.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
56,0 1 1 1 0 0 0,1.5,1.5,3.5,1.5,1.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
57,0 1 1 1 0 0 1,0.5,0.5,1.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
58,0 1 1 1 0 1 0,0.5,0.5,1.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
59,0 1 1 1 0 1 1,0.5,0.5,1.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
60,0 1 1 1 1 0 0,1.5,1.5,3.5,1.5,1.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
61,0 1 1 1 1 0 1,0.5,0.5,1.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
62,0 1 1 1 1 1 0,0.5,0.5,1.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
63,0 1 1 1 1 1 1,0.5,0.5,1.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
64,1 0 0 0 0 0 0,1.5,1.5,1.5,9.5,1.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
65,1 0 0 0 0 0 1,0.5,0.5,0.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
